X;min;mean;max;date
464;41;54;68;2014-04-09
465;38;47;56;2014-04-10
466;30;40;50;2014-04-11
467;31;44;58;2014-04-12
468;35;45;55;2014-04-13
469;41;53;65;2014-04-14
470;42;50;59;2014-04-15
471;32;36;41;2014-04-16
472;34;43;52;2014-04-17
473;32;38;43;2014-04-18
474;37;44;50;2014-04-19
475;45;52;59;2014-04-20
476;41;50;59;2014-04-21
477;47;58;70;2014-04-22
478;52;60;69;2014-04-23
479;54;58;63;2014-04-24
480;52;58;65;2014-04-25
481;48;56;64;2014-04-26
482;47;55;63;2014-04-27
483;50;53;56;2014-04-28
484;46;50;55;2014-04-29
485;44;52;60;2014-04-30
486;43;50;57;2014-05-01
487;47;55;63;2014-05-02
488;46;54;61;2014-05-03
489;44;52;59;2014-05-04
490;43;52;60;2014-05-05
491;45;54;64;2014-05-06
492;43;56;68;2014-05-07
493;45;56;66;2014-05-08
494;48;58;69;2014-05-09
495;43;58;72;2014-05-10
496;45;60;75;2014-05-11
497;50;60;70;2014-05-12
498;48;60;72;2014-05-13
499;48;54;59;2014-05-14
500;43;46;50;2014-05-15
501;44;50;56;2014-05-16
502;44;52;60;2014-05-17
503;45;54;63;2014-05-18
504;41;54;66;2014-05-19
505;53;61;69;2014-05-20
506;47;60;73;2014-05-21
507;48;62;77;2014-05-22
508;51;64;77;2014-05-23
509;51;64;76;2014-05-24
510;52;64;75;2014-05-25
511;56;64;71;2014-05-26
512;51;64;77;2014-05-27
513;48;61;74;2014-05-28
514;50;57;64;2014-05-29
515;52;57;62;2014-05-30
516;48;57;66;2014-05-31
517;43;53;63;2014-06-01
518;42;54;66;2014-06-02
519;47;58;70;2014-06-03
520;51;61;71;2014-06-04
521;47;62;76;2014-06-05
522;49;62;75;2014-06-06
523;51;64;77;2014-06-07
524;56;70;83;2014-06-08
525;51;66;81;2014-06-09
526;52;66;81;2014-06-10
527;56;68;80;2014-06-11
528;54;66;79;2014-06-12
529;58;70;81;2014-06-13
530;54;68;83;2014-06-14
531;55;66;77;2014-06-15
532;55;67;79;2014-06-16
533;58;64;69;2014-06-17
534;55;67;77;2014-06-18
535;51;60;68;2014-06-19
536;52;61;70;2014-06-20
537;47;60;73;2014-06-21
538;48;62;76;2014-06-22
539;53;67;81;2014-06-23
540;56;70;84;2014-06-24
541;57;68;80;2014-06-25
542;66;74;82;2014-06-26
543;62;72;82;2014-06-27
544;55;67;79;2014-06-28
545;58;71;84;2014-06-29
546;56;70;84;2014-06-30
547;54;66;78;2014-07-01
548;57;70;83;2014-07-02
549;57;70;82;2014-07-03
550;54;68;82;2014-07-04
551;54;69;84;2014-07-05
552;57;71;85;2014-07-06
553;57;72;86;2014-07-07
554;59;74;89;2014-07-08
555;61;70;78;2014-07-09
556;51;64;78;2014-07-10
557;51;60;68;2014-07-11
558;57;65;73;2014-07-12
559;53;67;81;2014-07-13
560;53;67;81;2014-07-14
561;55;62;69;2014-07-15
562;54;67;80;2014-07-16
563;56;66;77;2014-07-17
564;55;66;78;2014-07-18
565;57;69;81;2014-07-19
566;59;70;80;2014-07-20
567;59;72;84;2014-07-21
568;61;69;75;2014-07-22
569;59;67;75;2014-07-23
570;55;66;78;2014-07-24
571;59;68;78;2014-07-25
572;56;70;83;2014-07-26
573;61;72;84;2014-07-27
574;60;71;82;2014-07-28
575;57;70;84;2014-07-29
576;59;72;85;2014-07-30
577;66;72;79;2014-07-31
578;55;64;71;2014-08-01
579;56;68;79;2014-08-02
580;59;70;82;2014-08-03
581;59;72;85;2014-08-04
582;59;72;84;2014-08-05
583;59;71;83;2014-08-06
584;57;70;82;2014-08-07
585;60;71;82;2014-08-08
586;57;70;83;2014-08-09
587;59;72;85;2014-08-10
588;62;75;88;2014-08-11
589;62;76;90;2014-08-12
590;62;78;93;2014-08-13
591;66;80;93;2014-08-14
592;59;74;86;2014-08-15
593;55;69;83;2014-08-16
594;55;66;77;2014-08-17
595;50;64;78;2014-08-18
596;54;69;84;2014-08-19
597;57;72;86;2014-08-20
598;61;75;89;2014-08-21
599;62;76;89;2014-08-22
600;59;74;89;2014-08-23
601;57;72;86;2014-08-24
602;54;68;81;2014-08-25
603;57;72;86;2014-08-26
604;56;72;89;2014-08-27
605;59;72;85;2014-08-28
606;64;74;83;2014-08-29
607;64;72;81;2014-08-30
608;57;72;85;2014-08-31
609;55;70;84;2014-09-01
610;59;66;73;2014-09-02
611;56;64;73;2014-09-03
612;55;65;75;2014-09-04
613;56;67;78;2014-09-05
614;56;66;77;2014-09-06
615;57;67;77;2014-09-07
616;56;66;75;2014-09-08
617;52;64;75;2014-09-09
618;54;64;75;2014-09-10
619;55;66;77;2014-09-11
620;55;67;79;2014-09-12
621;56;68;79;2014-09-13
622;56;68;80;2014-09-14
623;52;63;74;2014-09-15
624;48;60;72;2014-09-16
625;53;63;73;2014-09-17
626;55;64;74;2014-09-18
627;53;64;74;2014-09-19
628;54;64;73;2014-09-20
629;61;69;77;2014-09-21
630;59;68;76;2014-09-22
631;47;60;68;2014-09-23
632;41;52;64;2014-09-24
633;51;59;67;2014-09-25
634;45;54;61;2014-09-26
635;41;51;61;2014-09-27
636;41;54;66;2014-09-28
637;45;56;67;2014-09-29
638;44;56;68;2014-09-30
639;46;59;72;2014-10-01
640;49;60;72;2014-10-02
641;54;60;65;2014-10-03
642;51;59;65;2014-10-04
643;49;54;60;2014-10-05
644;50;54;57;2014-10-06
645;51;56;62;2014-10-07
646;52;60;68;2014-10-08
647;48;59;70;2014-10-09
648;48;58;68;2014-10-10
649;48;58;69;2014-10-11
650;48;60;71;2014-10-12
651;48;59;70;2014-10-13
652;51;61;71;2014-10-14
653;53;61;71;2014-10-15
654;53;62;72;2014-10-16
655;62;66;71;2014-10-17
656;51;61;71;2014-10-18
657;48;56;65;2014-10-19
658;44;54;63;2014-10-20
659;42;56;70;2014-10-21
660;46;56;66;2014-10-22
661;41;46;52;2014-10-23
662;39;43;47;2014-10-24
663;39;44;50;2014-10-25
664;36;44;53;2014-10-26
665;39;48;56;2014-10-27
666;41;47;53;2014-10-28
667;43;50;57;2014-10-29
668;40;48;57;2014-10-30
669;43;48;54;2014-10-31
670;37;45;53;2014-11-01
671;32;43;54;2014-11-02
672;36;46;56;2014-11-03
673;38;46;55;2014-11-04
674;43;52;62;2014-11-05
675;44;52;60;2014-11-06
676;48;54;60;2014-11-07
677;50;54;58;2014-11-08
678;48;53;56;2014-11-09
679;46;54;60;2014-11-10
680;43;51;59;2014-11-11
681;46;52;59;2014-11-12
682;47;52;56;2014-11-13
683;45;50;54;2014-11-14
684;41;50;59;2014-11-15
685;46;52;57;2014-11-16
686;43;52;58;2014-11-17
687;40;51;62;2014-11-18
688;47;50;54;2014-11-19
689;35;47;56;2014-11-20
690;30;41;52;2014-11-21
691;29;40;50;2014-11-22
692;28;40;51;2014-11-23
693;32;42;51;2014-11-24
694;32;40;48;2014-11-25
695;39;40;40;2014-11-26
696;39;42;46;2014-11-27
697;42;46;51;2014-11-28
698;41;49;57;2014-11-29
699;48;52;55;2014-11-30
700;44;49;54;2014-12-01
701;46;50;55;2014-12-02
702;42;49;56;2014-12-03
703;41;48;54;2014-12-04
704;46;50;54;2014-12-05
705;46;49;54;2014-12-06
706;39;46;54;2014-12-07
707;36;42;49;2014-12-08
708;38;44;49;2014-12-09
709;35;42;49;2014-12-10
710;36;43;50;2014-12-11
711;35;44;54;2014-12-12
712;30;40;50;2014-12-13
713;26;39;52;2014-12-14
714;26;36;46;2014-12-15
715;39;44;50;2014-12-16
716;41;45;49;2014-12-17
717;32;40;49;2014-12-18
718;32;40;47;2014-12-19
719;32;42;51;2014-12-20
720;33;39;45;2014-12-21
721;26;36;45;2014-12-22
722;24;37;50;2014-12-23
723;26;38;51;2014-12-24
724;24;38;52;2014-12-25
725;32;42;48;2014-12-26
726;22;34;44;2014-12-27
727;22;31;40;2014-12-28
728;18;28;32;2014-12-29
729;11;15;19;2014-12-30
730;14;18;22;2014-12-31
731;14;21;28;2015-01-01
732;12;23;34;2015-01-02
733;22;32;42;2015-01-03
734;30;38;45;2015-01-04
735;20;27;34;2015-01-05
736;14;24;33;2015-01-06
737;10;22;33;2015-01-07
738;10;22;34;2015-01-08
739;15;28;42;2015-01-09
740;35;45;51;2015-01-10
741;23;36;49;2015-01-11
742;31;38;45;2015-01-12
743;21;32;43;2015-01-13
744;19;32;45;2015-01-14
745;23;36;50;2015-01-15
746;23;36;48;2015-01-16
747;26;37;48;2015-01-17
748;28;34;41;2015-01-18
749;35;38;42;2015-01-19
750;32;40;47;2015-01-20
751;33;44;54;2015-01-21
752;35;44;53;2015-01-22
753;39;45;51;2015-01-23
754;35;42;48;2015-01-24
755;32;38;43;2015-01-25
756;32;36;39;2015-01-26
757;33;39;45;2015-01-27
758;34;38;43;2015-01-28
759;32;40;49;2015-01-29
760;41;45;49;2015-01-30
761;33;38;43;2015-01-31
762;32;38;45;2015-02-01
763;33;37;39;2015-02-02
764;30;38;45;2015-02-03
765;32;36;41;2015-02-04
766;34;42;51;2015-02-05
767;37;42;48;2015-02-06
768;37;44;50;2015-02-07
769;31;38;42;2015-02-08
770;22;26;28;2015-02-09
771;18;26;34;2015-02-10
772;23;31;39;2015-02-11
773;19;29;39;2015-02-12
774;23;33;43;2015-02-13
775;26;37;48;2015-02-14
776;24;36;48;2015-02-15
777;28;38;48;2015-02-16
778;28;37;46;2015-02-17
779;19;31;43;2015-02-18
780;19;32;44;2015-02-19
781;24;36;49;2015-02-20
782;29;42;54;2015-02-21
783;37;41;45;2015-02-22
784;38;44;50;2015-02-23
785;34;42;50;2015-02-24
786;41;44;48;2015-02-25
787;33;41;49;2015-02-26
788;39;46;52;2015-02-27
789;41;48;56;2015-02-28
790;39;46;52;2015-03-01
791;37;46;54;2015-03-02
792;39;50;60;2015-03-03
793;33;44;54;2015-03-04
794;39;44;48;2015-03-05
795;32;38;43;2015-03-06
796;30;36;41;2015-03-07
797;32;36;45;2015-03-08
798;31;38;46;2015-03-09
799;35;41;47;2015-03-10
800;31;40;44;2015-03-11
801;28;39;50;2015-03-12
802;30;38;47;2015-03-13
803;33;41;49;2015-03-14
804;30;42;55;2015-03-15
805;36;44;54;2015-03-16
806;35;44;53;2015-03-17
807;31;42;53;2015-03-18
808;33;39;45;2015-03-19
809;25;36;47;2015-03-20
810;24;38;51;2015-03-21
811;30;38;47;2015-03-22
812;37;42;48;2015-03-23
813;42;46;51;2015-03-24
814;42;44;47;2015-03-25
815;41;48;56;2015-03-26
816;45;48;50;2015-03-27
817;40;48;54;2015-03-28
818;36;46;56;2015-03-29
819;34;46;57;2015-03-30
820;40;50;60;2015-03-31
821;39;50;60;2015-04-01
822;34;44;53;2015-04-02
823;33;40;47;2015-04-03
824;28;39;50;2015-04-04
825;37;41;45;2015-04-05
826;32;36;41;2015-04-06
827;33;40;48;2015-04-07
828;32;40;49;2015-04-08
829;34;44;55;2015-04-09
830;32;45;58;2015-04-10
831;33;48;62;2015-04-11
832;38;50;63;2015-04-12
833;38;52;66;2015-04-13
834;39;52;65;2015-04-14
835;40;52;64;2015-04-15
836;40;54;68;2015-04-16
837;39;54;70;2015-04-17
838;51;60;69;2015-04-18
839;41;46;50;2015-04-19
840;41;50;59;2015-04-20
841;34;47;60;2015-04-21
